Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MAS,"Masco Corp",61.92,0.72,+1.18%,62.06,61.17,1547500,2021-08-25
MCD,"McDonald's Corp",238.83,0.4,+0.17%,239.6,237.84,1668100,2021-08-25
MCHP,"Microchip Technology",151.45,3.4,+2.30%,152.5,149.35,2883400,2021-08-25
MCK,"Mckesson Corp",200.3,-0.11,-0.05%,201.24,197.52,673800,2021-08-25
MCO,"Moody's Corp",376.4,0.05,+0.01%,377.52,373.5,304500,2021-08-25
MDLZ,"Mondelez Intl Inc",61.87,-0.38,-0.61%,62.26,61.72,5669300,2021-08-25
MDT,"Medtronic Inc",134.55,1.98,+1.49%,135.2,132.2,6484000,2021-08-25
MET,"Metlife Inc",62.47,0.78,+1.26%,63.08,61.67,2940400,2021-08-25
MGM,"MGM Resorts International",42.13,1.22,+2.98%,42.24,40.7,6090000,2021-08-25
MHK,"Mohawk Industries",204.76,1.44,+0.71%,207.79,203.6,334100,2021-08-25
MKC,"Mccormick & Company",85.56,-0.32,-0.37%,85.89,84.92,766200,2021-08-25
MKTX,"Marketaxess Holdings",472.33,-8.42,-1.75%,482.28,466.5,155700,2021-08-25
MLM,"Martin Marietta Materials",386.09,6.81,+1.80%,391.48,379.64,247800,2021-08-25
MMC,"Marsh & Mclennan Companies",155.32,0.05,+0.03%,156.08,154.66,1281300,2021-08-25
MMM,"3M Company",194.34,-0.41,-0.21%,195.05,192.72,1612600,2021-08-25
MNST,"Monster Beverage Cp",97.13,0.5,+0.52%,97.29,96.17,994900,2021-08-25
MO,"Altria Group",48.65,0.44,+0.91%,48.92,48.17,4299000,2021-08-25
MOS,"Mosaic Company",32.34,0.05,+0.15%,32.64,31.69,2037700,2021-08-25
MPC,"Marathon Petroleum Corp",58.63,0.67,+1.16%,59.2,57.5,5268700,2021-08-25
MPWR,"Monolithic Power Sys",483.27,-2.06,-0.42%,490.98,476.66,353700,2021-08-25
MRK,"Merck & Company",77.07,-0.65,-0.84%,77.81,76.4,7045800,2021-08-25
MRNA,"Moderna Inc",397.87,2.93,+0.74%,413.8,387.97,14427600,2021-08-25
MRO,"Marathon Oil Corp",11.8,0.19,+1.64%,11.89,11.5,16486500,2021-08-25
MS,"Morgan Stanley",104.09,1,+0.97%,104.97,103.04,5612000,2021-08-25
MSCI,"MSCI Inc",627.91,9.54,+1.54%,630.16,619.65,251800,2021-08-25
MSFT,"Microsoft Corp",302.01,-0.61,-0.20%,304.59,300.42,20006000,2021-08-25
MSI,"Motorola Solutions",241.33,2.21,+0.92%,242.59,239.36,874100,2021-08-25
MTB,"M&T Bank Corp",141.62,2.83,+2.04%,142.54,138.66,1470000,2021-08-25
MTD,"Mettler-Toledo International",1560.62,35.06,+2.30%,1561.76,1519.85,103400,2021-08-25
MU,"Micron Technology",74.04,2.06,+2.86%,77.03,72.18,36552102,2021-08-25
MXIM,"Maxim Integrated",103.14,-1.23,-1.18%,105.58,102.59,45804496,2021-08-25
NCLH,"Norwegian Cruise Ord",26.04,0.26,+1.01%,26.35,25.27,13268100,2021-08-25
NDAQ,"Nasdaq Inc",191.63,0.77,+0.40%,192.09,190.04,370500,2021-08-25
NEE,"Nextera Energy",84.53,0.39,+0.46%,84.86,83.58,5930300,2021-08-25
NEM,"Newmont Mining Corp",56.91,-0.57,-0.99%,57.8,56.51,3942800,2021-08-25
NFLX,"Netflix Inc",547.58,-5.83,-1.05%,552.84,545.45,2065600,2021-08-25
NI,"NiSource Inc",25.03,-0.15,-0.60%,25.15,24.88,2960200,2021-08-25
NKE,"Nike Inc",169.84,-0.14,-0.08%,170.69,169.53,3003800,2021-08-25
NLOK,"Nortonlifelock Inc",26.7,0.25,+0.95%,26.96,26.33,4466500,2021-08-25
NLSN,"Nielsen Holdings Plc",21.94,0.14,+0.64%,22.03,21.47,10248500,2021-08-25
NOC,"Northrop Grumman Corp",362.66,-0.11,-0.03%,364.42,361.66,416600,2021-08-25
NOV,"Nov Inc",13.26,0.13,+0.99%,13.3,12.97,2715200,2021-08-25
NOW,"Servicenow Inc",621.07,-0.78,-0.13%,627.77,616.66,909700,2021-08-25
NRG,"NRG Energy",45.6,1.65,+3.75%,45.73,43.75,2893000,2021-08-25
NSC,"Norfolk Southern Corp",261.16,1.73,+0.67%,262.05,258.61,1257300,2021-08-25
NTAP,"Netapp Inc",82.27,1.49,+1.84%,82.59,80.61,1919700,2021-08-25
NTRS,"Northern Trust Corp",119.41,2.41,+2.06%,119.98,116.97,476100,2021-08-25
NUE,"Nucor Corp",119.96,-3.29,-2.67%,123.86,119.69,3463000,2021-08-25
NVDA,"Nvidia Corp",222.13,4.2,+1.93%,224.7,217.22,34770098,2021-08-25
NVR,"NVR Inc",5185.64,10.64,+0.21%,5224.75,5170,8400,2021-08-25
NWL,"Newell Rubbermaid Inc",25.34,0.24,+0.96%,25.56,24.96,1502900,2021-08-25
NWS,"News Cp Cl B",21.99,0.2,+0.92%,22.1,21.56,438100,2021-08-25
NWSA,"News Cp Cl A",22.58,0.26,+1.16%,22.69,22.09,1568700,2021-08-25
NXPI,"Nxp Semiconductors",217.79,3.27,+1.52%,219.08,215.29,1909300,2021-08-25
O,"Realty Income Corp",70.93,0.09,+0.13%,71.39,70.26,2348500,2021-08-25
ODFL,"Old Dominion Freight Line Inc",286.06,0.53,+0.19%,287.37,284.73,350400,2021-08-25
OGN,"Organon & CO",33.3,0.14,+0.42%,33.61,32.37,1929400,2021-08-25
OKE,"Oneok Inc",53.46,0.5,+0.94%,54.02,52.67,1738900,2021-08-25
OMC,"Omnicom Group Inc",72.56,-0.03,-0.04%,73.02,71.43,1095300,2021-08-25
ORCL,"Oracle Corp",88.62,0.07,+0.08%,88.9,88.05,5748600,2021-08-25
ORLY,"O'Reilly Automotive",607.07,7.67,+1.28%,608.32,600.79,356900,2021-08-25
OTIS,"Otis Worldwide Corp",91.13,0.76,+0.84%,91.47,90.62,2034500,2021-08-25
OXY,"Occidental Petroleum Corp",24.63,0.25,+1.03%,24.86,23.91,10024400,2021-08-25
PAYC,"Paycom Software Inc",484.13,-1.45,-0.30%,490.74,483.25,188500,2021-08-25
PAYX,"Paychex Inc",114.23,-0.06,-0.05%,114.96,113.96,993000,2021-08-25
PBCT,"People's United Finl",16.48,0.3,+1.85%,16.59,16.15,2410100,2021-08-25
PCAR,"Paccar Inc",81.97,0.22,+0.27%,82.25,81.28,1658500,2021-08-25
PEAK,"Healthpeak Properties Inc",35.23,0.08,+0.23%,35.61,34.9,2941900,2021-08-25
PEG,"Public Service Enterprise Group Inc",64.11,0.3,+0.47%,64.32,63.45,1354200,2021-08-25
PENN,"Penn Natl Gaming Inc",79.92,6.37,+8.66%,80.09,73.11,10478100,2021-08-25
PEP,"Pepsico Inc",155.2,-0.69,-0.44%,155.67,154.16,3346800,2021-08-25
PFE,"Pfizer Inc",47.51,-0.87,-1.80%,48.28,46.93,51036699,2021-08-25
PFG,"Principal Financial Group Inc",67.75,0.88,+1.32%,68.4,66.88,1002100,2021-08-25
PG,"Procter & Gamble Company",142.67,-0.51,-0.36%,143.13,142.25,3861600,2021-08-25
PGR,"Progressive Corp",96.22,-0.41,-0.42%,97,96.15,1669900,2021-08-25
PH,"Parker-Hannifin Corp",303.51,4.54,+1.52%,305.19,298,844900,2021-08-25
PHM,Pultegroup,54.22,0.63,+1.18%,54.66,53.56,1496100,2021-08-25
PKG,"Packaging Corp of America",149.92,2.07,+1.40%,150.52,147.07,388900,2021-08-25
PKI,Perkinelmer,185.02,2.82,+1.55%,185.39,181.26,501500,2021-08-25
PLD,"Prologis Inc",130.53,-0.22,-0.17%,131.32,129.68,2242200,2021-08-25
PM,"Philip Morris International Inc",101.24,0.61,+0.61%,101.73,100.26,2213600,2021-08-25
PNC,"PNC Bank",192.13,3.65,+1.94%,193.43,188.45,1637100,2021-08-25
PNR,"Pentair Ltd",79.05,0.27,+0.34%,79.28,78.34,849000,2021-08-25
PNW,"Pinnacle West Capital Corp",77.79,0.03,+0.04%,78.23,76.99,592700,2021-08-25
POOL,"Pool Corp",485.02,7.43,+1.56%,486.66,478.21,117300,2021-08-25
PPG,"PPG Industries",163.39,0.51,+0.31%,163.66,161.1,885000,2021-08-25
PPL,"PPL Corp",29.22,-0.01,-0.03%,29.4,28.94,6640900,2021-08-25
PRGO,"Perrigo Company",40.85,-0.05,-0.12%,41.07,40.42,762300,2021-08-25
PRU,"Prudential Financial Inc",106.82,1.3,+1.23%,107.87,105.55,1351500,2021-08-25
PSA,"Public Storage",316.38,-1.45,-0.46%,318.5,315.82,643600,2021-08-25
PSX,"Phillips 66",72.18,1.25,+1.76%,72.65,70.34,2229400,2021-08-25
PTC,"Ptc Inc",131.72,0.46,+0.35%,132.48,130.55,349000,2021-08-25
PVH,"Phillips-Van Heusen Corp",110.45,-0.17,-0.15%,111.31,107.85,1713100,2021-08-25
PWR,"Quanta Services",102.19,3.14,+3.17%,102.7,99.05,1263300,2021-08-25
PXD,"Pioneer Natural Resources Company",149.15,1.31,+0.89%,150.43,147.02,1196200,2021-08-25
PYPL,"Paypal Holdings",277.69,-1.82,-0.65%,279.83,276.77,4392500,2021-08-25
QCOM,"Qualcomm Inc",143.87,-0.59,-0.41%,145.43,143.46,5721600,2021-08-25
QRVO,"Qorvo Inc",185.62,0.82,+0.44%,187.07,184.7,520200,2021-08-25
RCL,"Royal Caribbean Cruises Ltd",83.41,0.55,+0.66%,84.22,81.2,3812200,2021-08-25
RE,"Everest Re Group",272.71,0.53999999999996,+0.20%,274.31,270.91,198600,2021-08-25
REG,"Regency Centers Corp",67.1,1.61,+2.46%,67.32,65.16,886600,2021-08-25
REGN,"Regeneron Pharmaceuticals",669.18,-0.77,-0.11%,674,660.79,643500,2021-08-25
RF,"Regions Financial Corp",20.93,0.32,+1.55%,21.18,20.59,7007500,2021-08-25
RHI,"Robert Half International Inc",103.39,0.61,+0.59%,104.12,102.53,404000,2021-08-25
RJF,"Raymond James Financial",140.16,2.73,+1.99%,141.67,137.8,397800,2021-08-25
RL,"Ralph Lauren Corp",120.02,-0.48,-0.40%,120.59,118.31,463200,2021-08-25
RMD,"Resmed Inc",285.56,3.32,+1.18%,286.14,281.58,347100,2021-08-25
ROK,"Rockwell Automation Inc",319.37,2.92,+0.92%,320.25,315.42,315000,2021-08-25
ROL,"Rollins Inc",38.22,0.17,+0.45%,38.45,37.86,654500,2021-08-25
ROP,"Roper Industries",479.5,0.06,+0.01%,481.37,476.59,339500,2021-08-25
ROST,"Ross Stores Inc",123.98,0.19,+0.15%,124.38,122.1,1683100,2021-08-25
RSG,"Republic Services",122.66,0.22,+0.18%,122.81,122.27,1011200,2021-08-25
RTX,"Raytheon Technologies Corp",85.73,0.3,+0.35%,86.44,85,3195100,2021-08-25
SBAC,"SBA Communications",349.58,-3.06,-0.87%,352.67,348.36,547700,2021-08-25
SBUX,"Starbucks Corp",115.57,0.49,+0.43%,115.99,115,3881400,2021-08-25
SCHW,"The Charles Schwab Corp",74.58,0.43,+0.58%,75.4,74.01,4754800,2021-08-25
SEE,"Sealed Air Corp",61.17,1.13,+1.88%,61.25,59.6,543600,2021-08-25
SHW,"Sherwin-Williams Company",302.73,-0.38,-0.13%,303.6,299.57,920900,2021-08-25
SIVB,"Svb Financial Group",572,3.62,+0.64%,580.79,568.89,223800,2021-08-25
SJM,"J.M. Smucker Company",127.28,0.07,+0.06%,127.89,126.23,1313800,2021-08-25
SLB,"Schlumberger N.V.",28.45,0.23,+0.82%,28.77,27.92,6545200,2021-08-25
SNA,"Snap-On Inc",226.27,0.93,+0.41%,228.29,225.01,300100,2021-08-25
SNPS,"Synopsys Inc",325.01,0.06,+0.02%,327.58,323.86,521500,2021-08-25
SO,"Southern Company",65.87,0.14,+0.21%,66.16,65.4,3037000,2021-08-25
SPG,"Simon Property Group",132.54,-0.02,-0.02%,134.52,131.63,1746600,2021-08-25
SPGI,"S&P Global Inc",437.85,0.25,+0.06%,438.26,433.36,572700,2021-08-25
SRE,Sempra,131.59,0.62,+0.47%,131.83,130.33,863700,2021-08-25
STE,"Steris Corp",216.03,2.39,+1.12%,216.47,212.91,449900,2021-08-25
STT,"State Street Corp",92,2.43,+2.71%,92.38,89.75,2741400,2021-08-25
STX,"Seagate Technology Hldgs Plc",86.89,0.82,+0.95%,89.53,85.9,3235500,2021-08-25
STZ,"Constellation Brands Inc",214.98,-1.85,-0.85%,216.69,212.7,1177900,2021-08-25
SWK,"Stanley Black & Decker Inc",194.18,1.69,+0.88%,194.76,192.18,609800,2021-08-25
SWKS,"Skyworks Solutions",181.08,-0.99,-0.54%,183.09,180.38,1009700,2021-08-25
SYF,"Synchrony Financial",51.42,1.21,+2.41%,51.71,50.24,3533700,2021-08-25
SYK,"Stryker Corp",271.49,0.39,+0.14%,272.87,269.6,921200,2021-08-25
SYY,"Sysco Corp",79.15,0.7,+0.89%,79.42,78.13,1796800,2021-08-25
T,"AT&T Inc",27.43,-0.02,-0.07%,27.52,27.34,22438201,2021-08-25
TAP,"Molson Coors Brewing Company",47.91,-0.54,-1.11%,48.37,47.73,1078400,2021-08-25
TDG,"Transdigm Group Inc",604.03,-4.27,-0.70%,610.3,602.22,146600,2021-08-25
TDY,"Teledyne Technologies Inc",458.03,2.07,+0.45%,461.08,456.79,295700,2021-08-25
TEL,"Te Connectivity Ltd",150.81,-0.34,-0.22%,151.61,150.44,1812400,2021-08-25
TER,"Teradyne Inc",118.06,1.26,+1.08%,118.75,116.91,959200,2021-08-25
TFC,"Truist Financial Corp",57.56,0.85,+1.50%,58.06,56.7,2691000,2021-08-25
TFX,"Teleflex Inc",385.28,-0.89,-0.23%,387.05,381.46,120600,2021-08-25
TGT,"Target Corp",251.15,0.5,+0.20%,252.26,249.41,2438400,2021-08-25
TJX,"TJX Companies",75.81,0.5,+0.66%,76.07,74.74,5365200,2021-08-25
TMO,"Thermo Fisher Scientific Inc",548.08,-2.41,-0.44%,553.18,544.16,963100,2021-08-25
TMUS,"T-Mobile US",139.86,-2.64,-1.85%,142.32,139.8,3633500,2021-08-25
TPR,"Tapestry Inc",43.16,-0.15,-0.35%,43.55,42.71,3296000,2021-08-25
TRMB,"Trimble Navigation",94.21,1.55,+1.67%,94.23,92.3,852100,2021-08-25
TROW,"T Rowe Price Group",219.32,2.32,+1.07%,220.9,217.39,583700,2021-08-25
TRV,"The Travelers Companies Inc",162.58,1.94,+1.21%,163.29,160.4,1034500,2021-08-25
TSCO,"Tractor Supply Company",194.19,0.66,+0.34%,194.74,192.49,684500,2021-08-25
TSLA,"Tesla Inc",711.2,2.71,+0.38%,716.97,704,12645500,2021-08-25
TSN,"Tyson Foods",78.71,-0.41,-0.52%,79.26,78.51,1384900,2021-08-25
TT,"Trane Technologies Plc",199.45,2.86,+1.45%,201.7,197.16,1383500,2021-08-25
TTWO,"Take-Two Interacti",160.66,-3.16,-1.93%,164.62,160.5,893300,2021-08-25
TWTR,"Twitter Inc",64.17,0.19,+0.30%,64.31,63.2,5470200,2021-08-25
TXN,"Texas Instruments",188.09,0.27,+0.14%,189.12,187.33,3163500,2021-08-25
TXT,"Textron Inc",73.5,0.89,+1.23%,73.81,72.23,886900,2021-08-25
TYL,"Tyler Technologies",475.81,4.25,+0.90%,477.23,470.47,159300,2021-08-25
UA,"Under Armour Inc Cl C",20.82,0.11,+0.53%,20.97,20.59,2597400,2021-08-25
UAA,"Under Armour",24.13,-0.03,-0.12%,24.38,23.95,3850200,2021-08-25
UAL,"United Airlines Holdings Inc",47.59,0.47,+1.00%,47.94,46.54,9772199,2021-08-25
UDR,"United Dominion Realty Trust",52.18,0.05,+0.10%,52.72,51.8,1520700,2021-08-25
UHS,"Universal Health Services",155.17,0.55,+0.36%,157.34,153.27,365000,2021-08-25
ULTA,"Ulta Beauty Inc",389.9,16.05,+4.29%,390.68,367.17,1917300,2021-08-25
UNH,"Unitedhealth Group Inc",419.74,-3.67,-0.87%,423.61,419.45,1939200,2021-08-25
UNM,"Unumprovident Corp",26.81,0.27,+1.02%,27.18,26.46,1210500,2021-08-25
UNP,"Union Pacific Corp",221.29,0.04,+0.02%,222.03,220.45,1744000,2021-08-25
UPS,"United Parcel Service",192.87,-0.4,-0.21%,193.97,192.21,1593800,2021-08-25
URI,"United Rentals",350.37,6.46,+1.88%,354.03,344.48,411300,2021-08-25
USB,"U.S. Bancorp",57.64,0.83,+1.46%,58.16,56.88,3983400,2021-08-25
V,"Visa Inc",232.59,-1.65,-0.70%,235,232.08,5277000,2021-08-25
VFC,"V.F. Corp",77.06,0.08,+0.10%,77.32,76.07,1293200,2021-08-25
VIAC,"Viacom CBS Cl B",40.97,0.27,+0.66%,41.34,40.41,9383900,2021-08-25
VLO,"Valero Energy Corp",66.34,1.11,+1.70%,66.85,64.92,3064600,2021-08-25
VMC,"Vulcan Materials Company",189.58,3.21,+1.72%,191.85,186.14,571300,2021-08-25
VNO,"Vornado Realty Trust",41.7,0,0.00%,42.12,41.36,1481300,2021-08-25
VRSK,"Verisk Analytics Inc",197.82,0.65,+0.33%,198.97,195.23,995700,2021-08-25
VRSN,"Verisign Inc",211.96,-1.4,-0.66%,213.98,211.3,351200,2021-08-25
VRTX,"Vertex Pharmaceutic",201.33,1.6,+0.80%,202.17,198.09,1192700,2021-08-25
VTR,"Ventas Inc",55.13,0.6,+1.10%,55.75,54.13,2386100,2021-08-25
VTRS,"Viatris Inc",14.52,-0.14,-0.95%,14.58,14.4,5767400,2021-08-25
VZ,"Verizon Communications Inc",54.93,-0.08,-0.15%,55.08,54.81,14666200,2021-08-25
WAB,"Wabtec Corp",87.64,0.5,+0.57%,87.9,86.99,2201800,2021-08-25
WAT,"Waters Corp",407.1,4.83,+1.20%,407.56,400.56,189200,2021-08-25
WBA,"Walgreens Boots Alliance",48.65,0.31,+0.64%,48.86,48.03,4013800,2021-08-25
WDC,"Western Digital Cp",65.5,4.74,+7.80%,69.99,60.87,17780000,2021-08-25
WEC,"Wisconsin Energy Corp",94.66,0.21,+0.22%,94.95,93.81,1004800,2021-08-25
WELL,"Welltower Inc",84.89,0.41,+0.49%,85.73,84,1544500,2021-08-25
WFC,"Wells Fargo & Company",49.29,0.93,+1.92%,49.62,48.47,21357301,2021-08-25
WHR,"Whirlpool Corp",223.87,2.75,+1.24%,226.88,222.05,383100,2021-08-25
WLTW,"Willis Towers WT",216.37,0.01,0.00%,218.52,213.88,1942300,2021-08-25
WM,"Waste Management",152.83,0.44,+0.29%,153.2,151.92,1080300,2021-08-25
WMB,"Williams Companies",24.59,-0.05,-0.20%,24.82,24.4,5497600,2021-08-25
WMT,"Wal-Mart Stores",148.96,0.06,+0.04%,149.28,148.02,7307000,2021-08-25
WRB,"W.R. Berkley Corp",76.19,0.27,+0.36%,76.69,75.78,523200,2021-08-25
WRK,"Westrock Company",51.24,0.52,+1.03%,51.57,50.36,780400,2021-08-25
WST,"West Pharmaceutical Services",444.52,-1.36,-0.31%,446.17,440.37,257100,2021-08-25
WU,"Western Union Company",21.75,0.06,+0.28%,21.97,21.63,3292200,2021-08-25
WY,"Weyerhaeuser Company",35.26,0.4,+1.15%,35.43,34.66,2633100,2021-08-25
WYNN,"Wynn Resorts Ltd",100.84,1.4,+1.41%,101.83,98.38,3406300,2021-08-25
XEL,"XCEL Energy Inc",68.31,0.02,+0.03%,68.85,67.51,2212200,2021-08-25
XLNX,"Xilinx Inc",153.25,0.16,+0.10%,156.5,152.05,1847300,2021-08-25
XOM,"Exxon Mobil Corp",55.46,0.1,+0.18%,55.77,54.87,13270300,2021-08-25
XRAY,"Dentsply Sirona Inc",60.61,0.04,+0.07%,60.69,60.03,684000,2021-08-25
XYL,"Xylem Inc",135.1,1.14,+0.85%,135.55,133.59,495700,2021-08-25
YUM,"Yum! Brands",134.44,0.9,+0.67%,134.68,133.16,856100,2021-08-25
ZBH,"Zimmer Biomet Holdings",150.39,1.65,+1.11%,151.72,148.33,1665100,2021-08-25
ZBRA,"Zebra Technologies",584.11,5.4,+0.93%,584.25,577.84,133900,2021-08-25
ZION,"Zions Bancorp",56.74,0.94,+1.68%,57.37,55.88,914100,2021-08-25
ZTS,"Zoetis Inc Cl A",204.43,-0.56,-0.27%,205.08,202.98,780700,2021-08-25
"Downloaded from Barchart.com as of 08-26-2021 04:05am CDT"
